t,m_dot,Pp,N,alpha
47.7,7.146937888628255,5835.150147718504,38500,0.65
47.800000000000004,7.244142209333962,5862.660869628114,38500,0.65
47.900000000000006,7.409268283801819,5877.676959393817,38500,0.65
48.0,7.47548810262274,5902.874105903852,38500,0.65
48.1,7.465724218647322,5933.192075271221,38500,0.65
48.2,7.6676103545523615,5964.551035850149,38500,0.65
48.300000000000004,7.696630710597595,5970.793042209328,38500,0.65
48.400000000000006,7.869198144150658,5989.332123497921,38500,0.65
48.5,7.850364842600127,6019.479598312305,38500,0.65
48.6,7.923463212733792,5998.516855709001,38500,0.65
48.7,8.05345655313441,6064.898488905312,38500,0.65
48.800000000000004,8.13238857626814,6073.113635779327,38500,0.65
48.900000000000006,8.181225783757045,6091.030378841863,38500,0.65
49.0,8.135855796951763,6125.9073042770515,38500,0.65
49.1,8.305088515930018,6083.436916566573,38500,0.65
49.2,8.28125880631432,6098.161658039859,38500,0.65
49.300000000000004,8.39626171329372,6157.604019840133,38500,0.65
49.400000000000006,8.362141488265863,6165.837585353927,38500,0.65
49.5,8.50314333836943,6182.6404991241825,38500,0.65
49.6,8.485543210412429,6182.621359165114,38500,0.65
49.7,8.504419449970344,6217.150487136021,38500,0.65
49.800000000000004,8.644637516924108,6233.890946038219,38500,0.65
49.900000000000006,8.659226563102488,6235.670483099186,38500,0.65
50.0,8.652531021710702,6230.907518578476,38500,0.65
50.1,8.789847225377134,6203.486802975421,38500,0.65
50.2,8.727363884826328,6269.929499402766,38500,0.65
50.300000000000004,8.780653561823591,6287.458322743653,38500,0.65
50.400000000000006,8.820158668169682,6283.959320811106,38500,0.65
50.5,8.802028730546883,6261.13364337392,38500,0.65
50.6,8.881479011992226,6299.4681651208975,38500,0.65
50.7,8.854711752927438,6310.027786352107,38500,0.65
50.800000000000004,8.882816630032842,6330.37756171326,38500,0.65
50.900000000000006,8.992156586398044,6287.647170384917,38500,0.65
51.0,8.89144181092846,6339.3423768545335,38500,0.35
51.1,8.478110942628163,9223.863905640954,38500,0.35
51.2,8.360077528256424,8900.37272556854,38500,0.35
51.300000000000004,8.124211214069316,8611.834158144706,38500,0.35
51.400000000000006,7.725826652645367,8415.929431155047,38500,0.35
51.5,7.427895163016729,8225.911462854925,38500,0.35
51.6,7.312667013304624,8049.043310710351,38500,0.35
51.7,7.14055732193549,7909.8748537692045,38500,0.35
51.800000000000004,6.991191861031018,7776.863363997881,38500,0.35
51.900000000000006,6.806605848945372,7701.397517513821,38500,0.35
52.0,6.771810045591993,7557.655729607524,42500,0.35
52.1,6.696771849091606,7505.574952428663,42500,0.35
52.2,6.550181740375438,7483.13491568185,42500,0.35
52.300000000000004,6.626379441721866,7475.774575164656,42500,0.35
52.400000000000006,6.663022619192307,7404.9013374063725,42500,0.35
52.5,6.538367155811325,7385.632340258687,42500,0.35
52.6,6.483468057559578,7349.2735985353065,42500,0.35
52.7,6.465914744540881,7370.5370774645025,42500,0.35
52.800000000000004,6.478560384293081,7329.006410781737,42500,0.35
52.900000000000006,6.338562654669486,7327.056400587666,42500,0.35
53.0,6.4127144383259775,7332.940184080633,42500,0.35
53.1,6.365203148075301,7292.468363619233,42500,0.35
53.2,6.458277971181465,7296.205963526014,42500,0.35
53.300000000000004,6.339976459420389,7273.108412422464,42500,0.35
53.400000000000006,6.41651585283534,7281.286046855878,42500,0.35
53.5,6.264008814150743,7267.328654347457,42500,0.35
53.6,6.336271184732215,7235.203493993649,42500,0.35
